poi_id_center,center_poi,context_osm
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,roads_bicycle_yes
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,roads_highway_trunk
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,roads_highway_secondary
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,roads_oneway_no
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,roads_oneway_yes
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,roads_railway_subway
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,roads_railway_subway
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,roads_service_yard
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,roads_surface_asphalt
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,roads_tunnel_yes
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,roads_tunnel_yes
4a43c0aef964a520c6a61fe3,Bridge,roads_access_permissive
4a43c0aef964a520c6a61fe3,Bridge,roads_bicycle_no
4a43c0aef964a520c6a61fe3,Bridge,roads_bridge_yes
4a43c0aef964a520c6a61fe3,Bridge,roads_covered_yes
4a43c0aef964a520c6a61fe3,Bridge,roads_foot_no
4a43c0aef964a520c6a61fe3,Bridge,roads_highway_motorway
4a43c0aef964a520c6a61fe3,Bridge,roads_horse_no
4a43c0aef964a520c6a61fe3,Bridge,roads_oneway_reversible
4a43c0aef964a520c6a61fe3,Bridge,roads_oneway_yes
4a43c0aef964a520c6a61fe3,Bridge,roads_surface_asphalt
4a43c0aef964a520c6a61fe3,Bridge,roads_toll_yes
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,roads_bicycle_yes
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,roads_highway_secondary
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,roads_highway_secondary
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,roads_highway_secondary_link
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,roads_oneway_no
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,roads_oneway_yes
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,roads_railway_subway
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,roads_railway_subway
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,roads_surface_asphalt
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,roads_surface_asphalt
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,roads_tunnel_yes
